New Terminal Output:

Frame     Area    CX    CY  TopY  BotY BBox
    2      102   520   193    12   362 (520, 187, 2, 17)
    4      202   520   193    12   362 (520, 187, 2, 17)
    5     2012   341   122     0   520 (328, 111, 31, 23)
    6     1446   341   122     0   511 (328, 111, 31, 23)
    7     2088   340   122     0   511 (328, 111, 31, 29)
    8     2458   340   122     0   513 (328, 111, 31, 29)
    9     2378   340   122     0   513 (328, 111, 31, 29)
   10     2482   340   122     0   513 (328, 111, 31, 29)
   11     2613   340   122     0   513 (328, 111, 31, 29)
   12     2784   340   122     0   513 (328, 111, 31, 29)
   13     2835   340   122     0   513 (328, 111, 31, 29)
   14     3053   340   122     0   513 (328, 111, 31, 29)
   15     2850   336   121     0   513 (329, 111, 16, 23)
   16     2798   336   121     0   513 (329, 111, 16, 23)
   17     2945   336   121     0   513 (329, 111, 16, 23)
   18     2700   336   121     0   513 (329, 111, 16, 23)
   19     2948   336   121     0   513 (329, 111, 16, 23)
   20     3420   336   121     0   513 (329, 111, 16, 23)
   21     3434   336   121     0   513 (329, 111, 16, 23)
   22     3526   336   121     0   513 (329, 111, 16, 23)
   23     4940   342   123     0   520 (329, 111, 30, 30)
   24     4927   342   123     0   516 (329, 111, 30, 30)
   25     4941   342   123     0   520 (329, 111, 30, 30)
   26     5412   342   122     0   520 (328, 111, 31, 30)
   27     5415   342   122     0   520 (328, 111, 31, 30)
   28     5403   342   122     0   520 (328, 111, 31, 30)
   29     5648   342   122     0   520 (328, 111, 31, 30)
   30     5630   341   122     0   520 (328, 111, 31, 30)
   31     5638   341   122     0   520 (328, 111, 31, 30)
   32     5632   341   122     0   520 (328, 111, 31, 30)
   33     6118    47   118     0   475 (6, 112, 81, 17)
   34     8832    42   130     0   475 (6, 105, 93, 49)
   35     8879    41   130     0   475 (6, 105, 93, 49)
   36     9004    41   130     0   475 (6, 105, 93, 49)
   37     9153    41   130     0   475 (6, 105, 93, 49)
   38     7484    42   131     0   509 (6, 105, 93, 49)
   39     7497    42   131     0   509 (6, 105, 93, 49)
   40     7112    42   131     0   509 (6, 112, 82, 42)
   41     7752    44   132     0   487 (6, 105, 97, 50)
   42    10872    70   129     0   487 (6, 105, 143, 50)
   43    10919    70   129     0   487 (6, 105, 143, 50)
   44    10364    70   129     0   487 (6, 105, 143, 50)
   45    10250    70   129     0   487 (6, 105, 143, 50)
   46    10219    71   129     0   487 (6, 105, 143, 50)
   47    11090    71   129     0   487 (6, 105, 143, 50)
   48    12192    71   129     0   487 (6, 105, 143, 50)
   49    16688    70   129     0   487 (6, 105, 143, 50)
   50    19453    73   129     0   487 (6, 105, 143, 50)
   51    19776    74   130     0   487 (6, 105, 143, 50)
   52    22625    73   130     0   487 (6, 105, 143, 50)
   53    27428    73   129     0   515 (0, 100, 149, 55)
   54    31350    73   128     0   515 (0, 91, 156, 64)
   55    30906   650   173     0   515 (523, 87, 224, 149)
   56    32858   631   130     0   515 (555, 38, 142, 187)
   57    31766   553   141     0   515 (371, 9, 289, 221)
   58    29860   532   174     0   515 (387, 88, 230, 149)
   59    29964   468   145     0   515 (371, 48, 166, 192)
   60    32967   462   160     0   515 (372, 88, 165, 152)
   61    33648    75   126     0   515 (0, 84, 156, 71)
   62    36086    75   126     0   515 (0, 84, 156, 71)
   63    40818    76   115     0   515 (0, 68, 156, 87)
   64    45260    76   115     0   515 (0, 68, 157, 88)
   65    47062    76   115     0   515 (0, 68, 157, 88)
   66    48600    76   115     0   515 (0, 68, 157, 88)
   67    50598    94   109     0   515 (0, 24, 216, 185)
   68    52086    87   115     0   515 (0, 28, 157, 186)
   69    52554    77   107     0   515 (0, 28, 157, 172)
   70    50930    76   111     0   515 (0, 28, 157, 186)
   71    34061    77   126     0   515 (0, 84, 157, 71)
   72    26534    75   117     0   483 (0, 68, 157, 87)
   73    26759    73   127     0   483 (0, 100, 157, 55)
   74    27980    76   126     0   483 (0, 100, 153, 55)
   75    27953    76   126     0   483 (0, 100, 153, 55)
   76    27557    76   126     0   483 (0, 100, 153, 55)
   77    19988    43   131     0   512 (5, 105, 94, 50)
   78    19276   342   130     0   519 (317, 110, 44, 48)
   79    23538   938   111     0   520 (881, 84, 79, 63)
   80    25294   618   121     0   520 (551, 88, 114, 138)
   81    26308   611   132     0   520 (549, 88, 117, 138)
   82    26818   611   134     0   520 (549, 88, 117, 138)
   83    28606   621   140     0   521 (549, 88, 158, 138)
   84    41822   621   156     0   521 (540, 88, 167, 139)
   85    53401   618   163     0   522 (540, 88, 167, 139)
   86    60784   448   160     0   522 (370, 89, 167, 140)
   87    68984   448   158     0   522 (370, 89, 167, 140)
   88    77406   445   156     0   522 (370, 79, 167, 150)
   89    77906   446   156     0   522 (370, 79, 167, 150)
   90    92048   448   135     0   522 (0, 0, 766, 263)
   91   102256   465   131     0   522 (216, 0, 550, 263)
   92   102852   466   130     0   522 (216, 0, 550, 263)
   93   101408   465   131     0   522 (45, 0, 721, 263)
   94   101718   466   131     0   522 (45, 0, 721, 263)
   95   103968   466   131     0   523 (219, 0, 547, 242)
   96   107086   449   136     0   523 (0, 0, 766, 242)
   97   108764   466   131     0   523 (220, 0, 546, 262)
   98   109200   467   131     0   523 (220, 0, 650, 262)
   99   109426   467   131     0   523 (220, 0, 650, 262)
  100   109396   467   131     0   523 (220, 0, 650, 250)
  101   106666   468   132     0   523 (221, 0, 649, 262)
  102   109780   467   131     0   523 (220, 0, 650, 262)
  103   113512   451   138     0   523 (0, 0, 866, 249)
  104   109859   450   138     0   523 (0, 0, 866, 249)
  105   108221   467   132     0   523 (220, 0, 650, 250)
  106   100432   465   127     0   523 (221, 0, 545, 242)
  107    91816   349   102     0   523 (221, 6, 270, 236)
  108   113464   449   138     0   523 (0, 0, 856, 249)
  109   104412   390   120     0   522 (0, 0, 766, 263)
  110   131831   463   148     0   523 (0, 0, 960, 389)
  111   135122   378   130     0   523 (0, 0, 861, 277)
  112   124808   395   139     0   523 (0, 0, 960, 389)
  113   114696   476   138     0   522 (227, 0, 539, 377)
  114    57916   796   156     0   521 (708, 85, 168, 140)
  115    60746    97   107     0   515 (0, 0, 212, 155)
  116    88376   259   101     0   515 (0, 0, 706, 228)
  117    88130   413   122     0   515 (239, 0, 467, 271)
  118    72750   409   113     0   519 (187, 0, 579, 239)
  119    55334    74    68     0   520 (0, 20, 157, 75)
root@4c6302b4-3853-48dc-b1bb-a6a152799bed:/app#
