New Terminal Output:

   51 |   1.16 | -17.56 |    -15.71 |       15.75 |       31871 | cx=876 cy=212
   52 |   0.06 |  -6.35 |     -9.13 |       15.80 |       35271 | cx=838 cy=217
   53 |  -4.40 |  -0.57 |    -17.02 |        9.52 |       36702 | cx=745 cy=235
   54 |   2.72 |  -1.74 |    -11.52 |       18.39 |       29902 | cx=757 cy=218
   55 |   0.99 |  -0.21 |     -8.48 |       11.02 |       24907 | cx=714 cy=198
   56 |  -2.26 |   2.21 |    -12.43 |        5.90 |       23239 | cx=674 cy=193
   57 |  -2.25 |   2.09 |    -14.44 |       11.65 |       25196 | cx=617 cy=190
   58 |  -0.42 |  -3.03 |    -12.07 |       10.12 |       20124 | cx=568 cy=172
   59 |  -2.03 |   1.70 |    -10.13 |        8.35 |       18036 | cx=514 cy=178
   60 |   3.95 |  -0.33 |     -7.43 |       19.80 |       20923 | cx=460 cy=197
   61 |   0.94 | -10.50 |     -5.50 |       20.08 |       32725 | cx=467 cy=208
   62 |   1.46 |  -5.93 |     -5.55 |       10.48 |       22792 | cx=408 cy=213
   63 |   1.63 | -11.42 |     -6.11 |       14.77 |       27605 | cx=363 cy=210
   64 |  -0.90 |   0.10 |    -19.33 |       10.27 |       27568 | cx=323 cy=218
   65 |  -2.27 |  -1.94 |    -18.94 |       12.91 |       35901 | cx=289 cy=243
   66 |  -1.75 |  -8.44 |    -15.04 |       10.90 |       36576 | cx=237 cy=237
   67 |  -1.73 |  -2.52 |    -15.32 |        9.71 |       34945 | cx=193 cy=237
   68 |   3.24 |  -4.65 |     -7.70 |       22.72 |       35327 | cx=161 cy=231
   69 |  -0.35 | -22.69 |    -13.57 |       20.13 |       44256 | cx=108 cy=222
   70 |  -1.98 | -21.70 |    -16.19 |        8.59 |       36647 | cx=82 cy=225
   71 |  -3.68 | -14.78 |    -14.42 |        5.57 |       24801 | cx=79 cy=246
   72 |  -1.11 | -11.78 |    -16.81 |        5.67 |       20254 | cx=77 cy=254
   73 |   2.80 |  -0.60 |     -5.52 |       15.49 |        6540 | cx=104 cy=297
   74 |   2.13 |  -3.29 |     -7.83 |       12.20 |        4449 | cx=42 cy=296
   75 |  -4.94 | -17.01 |    -10.80 |        0.07 |        2170 | cx=37 cy=283
root@modal:/app#
