New Terminal Output:

Frame     Area  MinY  MaxY    CX    CY                           BBox
    2      102   540     0     0     0                           None
    4      202   540     0     0     0                           None
    5     2012   111   134   343   122             (328, 111, 31, 23)
    6     1446   111   134   343   122             (328, 111, 31, 23)
    7     2088   111   140   343   125             (328, 111, 31, 29)
    8     2458   111   140   343   125             (328, 111, 31, 29)
    9     2378   111   140   343   125             (328, 111, 31, 29)
   10     2482   111   140   343   125             (328, 111, 31, 29)
   11     2613   111   140   343   125             (328, 111, 31, 29)
   12     2784   111   140   343   125             (328, 111, 31, 29)
   13     2835   111   140   343   125             (328, 111, 31, 29)
   14     3053   111   140   343   125             (328, 111, 31, 29)
   15     2850   111   134   337   122             (329, 111, 16, 23)
   16     2798   111   134   337   122             (329, 111, 16, 23)
   17     2945   111   134   337   122             (329, 111, 16, 23)
   18     2700   111   134   337   122             (329, 111, 16, 23)
   19     2948   111   134   337   122             (329, 111, 16, 23)
   20     3420   111   134   337   122             (329, 111, 16, 23)
   21     3434   111   134   337   122             (329, 111, 16, 23)
   22     3526   111   134   337   122             (329, 111, 16, 23)
   23     4940   111   141   344   126             (329, 111, 30, 30)
   24     4927   111   141   344   126             (329, 111, 30, 30)
   25     4941   111   141   344   126             (329, 111, 30, 30)
   26     5412   111   141   343   126             (328, 111, 31, 30)
   27     5415   111   141   343   126             (328, 111, 31, 30)
   28     5403   111   141   343   126             (328, 111, 31, 30)
   29     5648   111   141   343   126             (328, 111, 31, 30)
   30     5630   111   141   343   126             (328, 111, 31, 30)
   31     5638   111   141   343   126             (328, 111, 31, 30)
   32     5632   111   141   343   126             (328, 111, 31, 30)
   33     6118   112   129    46   120               (6, 112, 81, 17)
   34     8832   105   154    52   129               (6, 105, 93, 49)
   35     8879   105   154    52   129               (6, 105, 93, 49)
   36     9004   105   154    52   129               (6, 105, 93, 49)
   37     9153   105   154    52   129               (6, 105, 93, 49)
   38     7484   105   154    52   129               (6, 105, 93, 49)
   39     7497   105   154    52   129               (6, 105, 93, 49)
   40     7112   112   154    47   133               (6, 112, 82, 42)
   41     7752   105   155    54   130               (6, 105, 97, 50)
   42    10872   105   155    77   130              (6, 105, 143, 50)
   43    10919   105   155    77   130              (6, 105, 143, 50)
   44    10364   105   155    77   130              (6, 105, 143, 50)
   45    10250   105   155    77   130              (6, 105, 143, 50)
   46    10219   105   155    77   130              (6, 105, 143, 50)
   47    11090   105   155    77   130              (6, 105, 143, 50)
   48    12192   105   155    77   130              (6, 105, 143, 50)
   49    16688   105   155    77   130              (6, 105, 143, 50)
   50    19453   105   155    77   130              (6, 105, 143, 50)
   51    19776   105   155    77   130              (6, 105, 143, 50)
   52    22625   105   155    77   130              (6, 105, 143, 50)
   53    27428   100   155    74   127              (0, 100, 149, 55)
   54    31350    91   155    78   123               (0, 91, 156, 64)
   55    30906    87   236   635   161            (523, 87, 224, 149)
   56    32858    38   225   626   131            (555, 38, 142, 187)
   57    31766     9   230   515   119             (371, 9, 289, 221)
   58    29860    88   237   502   162            (387, 88, 230, 149)
   59    29964    48   240   454   144            (371, 48, 166, 192)
   60    32967    88   240   454   164            (372, 88, 165, 152)
   61    33648    84   155    78   119               (0, 84, 156, 71)
   62    36086    84   155    78   119               (0, 84, 156, 71)
   63    40818    68   155    78   111               (0, 68, 156, 87)
   64    45260    68   156    78   112               (0, 68, 157, 88)
   65    47062    68   156    78   112               (0, 68, 157, 88)
   66    48600    68   156    78   112               (0, 68, 157, 88)
   67    50598    24   209   108   116              (0, 24, 216, 185)
   68    52086    28   214    78   121              (0, 28, 157, 186)
   69    52554    28   200    78   114              (0, 28, 157, 172)
   70    50930    28   214    78   121              (0, 28, 157, 186)
   71    34061    84   155    78   119               (0, 84, 157, 71)
   72    26534    68   155    78   111               (0, 68, 157, 87)
   73    26759   100   155    78   127              (0, 100, 157, 55)
   74    27980   100   155    76   127              (0, 100, 153, 55)
   75    27953   100   155    76   127              (0, 100, 153, 55)
   76    27557   100   155    76   127              (0, 100, 153, 55)
   77    19988   105   155    52   130               (5, 105, 94, 50)
   78    19276   110   158   339   134             (317, 110, 44, 48)
   79    23538    84   147   920   115              (881, 84, 79, 63)
   80    25294    88   226   608   157            (551, 88, 114, 138)
   81    26308    88   226   607   157            (549, 88, 117, 138)
   82    26818    88   226   607   157            (549, 88, 117, 138)
   83    28606    88   226   628   157            (549, 88, 158, 138)
